,METHOD_TO_METHOD,FIELD,INHERITANCE,IMPORT,STRUCTUAL_DEBT_INDEX,
com.netflix.hollow.tools.diff.exact.DiffEqualOrdinalMap,19,1,0,3,0,
com.netflix.hollow.api.codegen.HollowJavaFileGenerator,0,0,0,0,0,
com.netflix.hollow.core.write.objectmapper.MemoizedList,0,0,0,0,0,
com.netflix.hollow.api.codegen.delegate.HollowObjectDelegateInterfaceGenerator,17,0,1,9,0,
com.netflix.hollow.core.type.LongTypeAPI,5,1,1,5,0,
com.netflix.hollow.core.HollowBlobOptionalPartHeader,0,0,0,0,0,
com.netflix.hollow.core.type.delegate.DoubleDelegateLookupImpl,5,1,2,4,0,
com.netflix.hollow.api.codegen.AbstractHollowAPIGeneratorBuilder,12,2,0,4,0,
com.netflix.hollow.core.schema.HollowSchemaParser,8,0,0,6,0,
com.netflix.hollow.api.producer.listener.AnnouncementListener,0,0,0,0,0,
com.netflix.hollow.core.write.HollowBlobHeaderWriter,18,0,0,4,0,
com.netflix.hollow.core.memory.FreeOrdinalTracker,0,0,0,0,0,
com.netflix.hollow.core.type.accessor.DoubleDataAccessor,4,1,1,5,0,
com.netflix.hollow.core.write.objectmapper.HollowListTypeMapper,18,3,1,9,0,
com.netflix.hollow.api.client.HollowBlob,0,0,0,1,0,
com.netflix.hollow.core.write.copy.HollowSetCopier,9,0,1,9,0,
com.netflix.hollow.core.index.FieldPath,45,1,0,19,0,
com.netflix.hollow.api.producer.metrics.ProducerMetricsReporting,0,0,0,0,0,
com.netflix.hollow.core.index.traversal.HollowIndexerListTraversalNode,3,0,1,3,0,
com.netflix.hollow.api.client.HollowClientUpdater,34,11,0,18,0,
com.netflix.hollow.core.index.HollowHashIndex,38,5,1,16,0,
com.netflix.hollow.core.type.StringTypeAPI,5,1,1,5,0,
com.netflix.hollow.core.write.objectmapper.flatrecords.HollowSchemaIdentifierMapper,0,0,0,0,0,
com.netflix.hollow.core.memory.ByteArrayOrdinalMap,42,2,0,7,0,
com.netflix.hollow.api.consumer.index.HollowUniqueKeyIndex,0,0,0,0,0,
com.netflix.hollow.core.type.delegate.StringDelegate,0,0,0,0,0,
com.netflix.hollow.core.util.IntList,0,0,0,0,0,
com.netflix.hollow.api.objects.delegate.HollowObjectDelegate,0,0,0,0,0,
com.netflix.hollow.api.consumer.index.SelectFieldPathResultExtractor,11,1,0,14,0,
com.netflix.hollow.tools.patch.record.HollowStateEngineRecordPatcher,20,2,0,8,0,
com.netflix.hollow.core.index.traversal.HollowIndexerValueTraverser,26,3,0,6,0,
com.netflix.hollow.api.producer.HollowIncrementalCyclePopulator,34,0,1,18,0,
com.netflix.hollow.core.memory.encoding.GapEncodedVariableLengthIntegerReader,11,1,0,4,0,
com.netflix.hollow.tools.diff.HollowDiffNodeIdentifier,0,0,0,0,0,
com.netflix.hollow.core.memory.ArrayByteData,0,0,1,1,0,
com.netflix.hollow.core.write.objectmapper.MemoizedMap,0,0,0,0,0,
com.netflix.hollow.api.producer.listener.RestoreListener,0,0,0,0,0,
com.netflix.hollow.core.read.engine.HollowBlobHeaderReader,25,0,0,5,0,
com.netflix.hollow.core.write.HollowWriteStateEngine,41,3,1,15,0,
com.netflix.hollow.api.codegen.objects.HollowListJavaGenerator,4,1,1,9,0,
com.netflix.hollow.tools.combine.HollowCombinerPrimaryKeyOrdinalRemapper,6,1,1,2,0,
com.netflix.hollow.api.custom.HollowTypeAPI,5,2,0,2,0,
com.netflix.hollow.core.index.key.PrimaryKeyValueHasher,2,0,0,6,0,
com.netflix.hollow.core.util.RemovedOrdinalIterator,2,0,0,2,0,
com.netflix.hollow.api.producer.validation.ValidationStatus,0,0,0,1,0,
com.netflix.hollow.core.memory.encoding.ZigZag,0,0,0,0,0,
com.netflix.hollow.core.read.engine.list.HollowListTypeReadState,35,2,2,13,0,
com.netflix.hollow.core.read.engine.set.HollowSetDeltaHistoricalStateCreator,19,5,0,10,0,
com.netflix.hollow.tools.split.HollowSplitter,8,3,0,6,0,
com.netflix.hollow.core.read.HollowReadFieldUtils,71,0,0,6,0,
com.netflix.hollow.tools.combine.HollowCombinerExcludePrimaryKeysCopyDirector,12,1,1,7,0,
com.netflix.hollow.api.client.HollowDataHolder,51,9,0,19,0,
com.netflix.hollow.core.util.IOUtils,7,0,0,2,0,
com.netflix.hollow.core.read.engine.set.HollowSetTypeReadState,43,3,2,19,0,
com.netflix.hollow.core.read.iterator.HollowOrdinalIterator,0,0,0,0,0,
com.netflix.hollow.api.producer.listener.PopulateListener,0,0,0,0,0,
com.netflix.hollow.core.type.HFloat,4,0,1,3,0,
com.netflix.hollow.api.producer.fs.HollowInMemoryBlobStager,6,1,2,14,0,
com.netflix.hollow.core.memory.pool.ArraySegmentRecycler,0,0,0,0,0,
com.netflix.hollow.api.codegen.delegate.HollowObjectDelegateLookupImplGenerator,31,0,1,10,0,
com.netflix.hollow.core.read.dataaccess.missing.HollowListMissingDataAccess,5,1,1,5,0,
com.netflix.hollow.api.objects.delegate.HollowListCachedDelegate,8,2,2,5,0,
com.netflix.hollow.tools.history.HollowHistoricalListDataAccess,18,0,2,9,0,
com.netflix.hollow.api.codegen.api.TypeAPIMapJavaGenerator,11,1,1,6,0,
com.netflix.hollow.api.sampling.HollowMapSampler,6,1,1,5,0,
com.netflix.hollow.tools.stringifier.HollowRecordStringifier,48,0,1,19,0,
com.netflix.hollow.core.read.engine.object.HollowObjectTypeReadStateShard,37,2,0,14,0,
com.netflix.hollow.api.metrics.HollowProducerMetrics,15,0,1,14,0,
com.netflix.hollow.api.producer.AbstractIncrementalCycleListener,0,0,1,2,0,
com.netflix.hollow.core.memory.FixedLengthDataFactory,3,0,0,2,0,
com.netflix.hollow.tools.diff.exact.mapper.DiffEqualityCollectionMapper,24,3,2,16,0,
com.netflix.hollow.api.client.HollowClient,16,8,0,22,0,
com.netflix.hollow.api.codegen.CodeGeneratorConfig,0,0,0,0,0,
com.netflix.hollow.api.sampling.SampleResult,0,0,0,0,0,
com.netflix.hollow.core.read.dataaccess.disabled.HollowListDisabledDataAccess,0,0,1,1,0,
com.netflix.hollow.core.HollowBlobHeader,0,0,0,0,0,
com.netflix.hollow.api.producer.AbstractHollowProducer,216,15,1,61,0,
com.netflix.hollow.api.sampling.HollowObjectCreationSampler,3,1,1,5,0,
com.netflix.hollow.tools.diff.count.HollowDiffObjectCountingNode,77,9,1,12,0,
com.netflix.hollow.core.read.dataaccess.disabled.HollowMapDisabledDataAccess,0,0,1,1,0,
com.netflix.hollow.tools.diff.HollowTypeDiff,39,7,0,16,0,
com.netflix.hollow.api.client.StaleHollowReferenceDetector,39,4,0,16,0,
com.netflix.hollow.core.read.iterator.EmptyOrdinalIterator,0,0,1,1,0,
com.netflix.hollow.api.consumer.metrics.RefreshMetricsReporting,0,0,0,0,0,
com.netflix.hollow.api.codegen.indexes.LegacyHollowPrimaryKeyIndexGenerator,1,0,1,2,0,
com.netflix.hollow.tools.history.HollowHistoricalSetDataAccess,45,1,2,16,0,
com.netflix.hollow.api.sampling.HollowSampler,0,0,0,0,0,
com.netflix.hollow.core.read.dataaccess.missing.HollowSetMissingDataAccess,8,1,1,5,0,
com.netflix.hollow.api.producer.fs.HollowFilesystemBlobStager,12,3,2,17,0,
com.netflix.hollow.core.write.objectmapper.flatrecords.FlatRecordExtractor,35,2,1,21,0,
com.netflix.hollow.api.codegen.objects.HollowCollectionsGenerator,1,0,1,2,0,
com.netflix.hollow.core.read.engine.HollowTypeStateListener,0,0,0,0,0,
com.netflix.hollow.tools.split.HollowSplitterShardCopier,15,4,0,11,0,
com.netflix.hollow.api.codegen.HollowErgonomicAPIShortcuts,18,0,0,7,0,
com.netflix.hollow.api.consumer.index.AbstractHollowHashIndex,11,2,1,7,0,
com.netflix.hollow.tools.diff.count.HollowFieldDiff,15,4,0,1,0,
com.netflix.hollow.core.write.HollowMapTypeWriteState,122,4,1,13,0,
com.netflix.hollow.api.codegen.objects.HollowSetJavaGenerator,4,1,1,9,0,
com.netflix.hollow.core.type.delegate.StringDelegateCachedImpl,4,1,3,5,0,
com.netflix.hollow.api.producer.metrics.AnnouncementMetrics,0,0,0,0,0,
com.netflix.hollow.core.read.iterator.HollowSetOrdinalIterator,3,1,1,4,0,
com.netflix.hollow.core.read.engine.object.HollowObjectDeltaHistoricalStateCreator,24,5,0,12,0,
com.netflix.hollow.core.read.engine.set.HollowSetDeltaApplicator,25,5,0,4,0,
com.netflix.hollow.core.write.copy.HollowListCopier,7,0,1,5,0,
com.netflix.hollow.core.read.engine.list.HollowListTypeReadStateShard,10,1,0,5,0,
com.netflix.hollow.core.write.objectmapper.flatrecords.FlatRecord,29,3,0,12,0,
com.netflix.hollow.core.util.AllHollowRecordCollection,2,0,1,3,0,
com.netflix.hollow.core.read.engine.map.HollowMapDeltaHistoricalStateCreator,19,5,0,10,0,
com.netflix.hollow.core.read.filter.Resolver,15,0,0,15,0,
com.netflix.hollow.api.codegen.api.TypeAPIObjectJavaGenerator,57,1,1,9,0,
com.netflix.hollow.core.read.dataaccess.proxy.HollowListProxyDataAccess,3,0,2,3,0,
com.netflix.hollow.core.index.traversal.HollowIndexerTraversalNode,15,2,0,1,0,
