,METHOD_TO_METHOD,INHERITANCE,IMPORT,FIELD,STRUCTUAL_DEBT_INDEX,
com.google.common.base.CharMatcher,31,1,0,1,0,
com.google.common.collect.FilteredKeyMultimap,25,5,1,2,0,
com.google.common.hash.MacHashFunction,5,2,0,0,0,
com.google.common.collect.MapMaker,24,0,3,3,0,
com.google.common.graph.Graph,0,0,0,0,0,
com.google.common.collect.ForwardingDeque,0,1,0,0,0,
com.google.common.collect.AbstractBiMap,37,6,1,0,0,
com.google.common.io.ByteArrayDataOutput,0,0,0,0,0,
com.google.common.collect.BiMap,0,0,0,0,0,
com.google.common.escape.Escaper,0,0,1,1,0,
com.google.common.math.LongMath,42,0,2,0,0,
com.google.common.collect.CollectCollectors,58,0,1,0,0,
com.google.common.util.concurrent.ForwardingLock,0,0,0,0,0,
com.google.common.base.ExtraObjectsMethodsForWeb,0,0,0,0,0,
com.google.common.primitives.Platform,1,0,0,0,0,
com.google.common.base.Defaults,1,0,0,0,0,
com.google.common.collect.AbstractMultimap,17,1,0,1,0,
com.google.common.hash.LongAddable,0,0,0,0,0,
com.google.common.hash.AbstractCompositeHashFunction,19,1,0,1,0,
com.google.common.collect.ImmutableBiMapFauxverideShim,0,1,0,0,0,
com.google.common.base.FinalizableSoftReference,1,1,0,0,0,
com.google.common.util.concurrent.AsyncFunction,0,0,0,0,0,
com.google.common.util.concurrent.AbstractExecutionThreadService,19,1,1,1,0,
com.google.common.collect.ComputationException,0,0,0,0,0,
com.google.common.collect.Multisets,186,2,5,5,0,
com.google.common.collect.ComparisonChain,4,0,3,0,0,
com.google.common.util.concurrent.AbstractScheduledService,35,2,1,2,0,
com.google.common.collect.TreeRangeSet,199,5,1,6,0,
com.google.common.base.Predicates,38,9,0,4,0,
com.google.common.collect.EmptyContiguousSet,6,1,0,1,0,
com.google.common.net.MediaType,81,0,13,7,0,
com.google.common.util.concurrent.Uninterruptibles,11,0,1,0,0,
com.google.common.util.concurrent.SequentialExecutor,2,0,1,0,0,
com.google.common.primitives.FloatsMethodsForWeb,0,0,0,0,0,
com.google.common.util.concurrent.TimeoutFuture,1,0,1,1,0,
com.google.common.base.Platform,8,1,0,1,0,
com.google.common.collect.ArrayListMultimapGwtSerializationDependencies,0,1,0,0,0,
com.google.common.hash.Funnels,12,2,1,2,0,
com.google.common.collect.ImmutableClassToInstanceMap,11,2,1,2,0,
com.google.common.base.VerifyException,0,0,0,0,0,
com.google.common.eventbus.DeadEvent,6,0,1,0,0,
com.google.common.collect.RegularImmutableSortedSet,28,1,0,1,0,
com.google.common.escape.ArrayBasedEscaperMap,1,0,0,0,0,
com.google.common.graph.DirectedGraphConnections,49,1,5,0,0,
com.google.common.collect.ArrayListMultimap,10,1,0,0,0,
com.google.common.collect.HashBasedTable,4,2,1,0,0,
com.google.common.collect.Collections2,46,2,5,4,0,
com.google.common.graph.EndpointPairIterator,12,1,3,1,0,
com.google.common.graph.MapIteratorCache,6,0,1,0,0,
com.google.common.collect.ForwardingNavigableSet,8,1,0,0,0,
com.google.common.math.IntMath,29,0,1,0,0,
com.google.common.util.concurrent.OverflowAvoidingLockSupport,0,0,0,0,0,
com.google.common.collect.ForwardingImmutableSet,0,0,0,0,0,
com.google.common.collect.NullsLastOrdering,4,1,0,1,0,
com.google.common.collect.RegularImmutableMultiset,15,2,2,6,0,
com.google.common.collect.AbstractSortedMultiset,16,3,0,1,0,
com.google.common.graph.ForwardingGraph,15,1,0,0,0,
com.google.common.base.Strings,11,0,0,0,0,
com.google.common.collect.AbstractMapBasedMultimap,38,1,0,0,0,
com.google.common.collect.DiscreteDomain,6,0,1,0,0,
com.google.common.util.concurrent.Atomics,0,0,0,0,0,
com.google.common.hash.LittleEndianByteArray,1,0,1,0,0,
com.google.common.collect.Cut,15,0,1,0,0,
com.google.common.io.Resources,10,1,3,0,0,
com.google.common.graph.StandardMutableNetwork,46,2,1,0,0,
com.google.common.collect.JdkBackedImmutableMap,6,1,0,1,0,
com.google.common.util.concurrent.FutureCallback,0,0,0,0,0,
com.google.common.util.concurrent.Platform,0,0,0,0,0,
com.google.common.collect.ImmutableSortedSetFauxverideShim,0,1,0,0,0,
com.google.common.collect.ImmutableEnumMap,7,0,0,0,0,
com.google.common.collect.ImmutableSetMultimap,38,3,1,3,0,
com.google.common.hash.AbstractStreamingHasher,8,1,0,0,0,
com.google.common.escape.ArrayBasedCharEscaper,5,1,0,0,0,
com.google.common.graph.NetworkConnections,0,0,0,0,0,
com.google.common.reflect.Reflection,2,0,0,0,0,
com.google.common.collect.Interner,0,0,0,0,0,
com.google.common.collect.TreeRangeMap,97,3,2,3,0,
com.google.common.reflect.Invokable,16,0,1,0,0,
com.google.common.hash.HashFunction,0,0,0,0,0,
com.google.common.base.Supplier,0,0,0,0,0,
com.google.common.eventbus.EventBus,22,1,2,3,0,
com.google.common.graph.StandardMutableValueGraph,46,2,0,1,0,
com.google.common.collect.ReverseOrdering,10,1,0,1,0,
com.google.common.collect.Synchronized,76,7,0,2,0,
com.google.common.io.CharSource,73,1,7,1,0,
com.google.common.hash.LongAddables,1,1,1,1,0,
com.google.common.collect.SortedMultisetBridge,0,0,0,0,0,
com.google.common.primitives.UnsignedLongs,13,0,0,0,0,
com.google.common.graph.BaseGraph,0,0,0,0,0,
com.google.common.io.LineReader,5,0,0,1,0,
com.google.common.collect.RegularImmutableTable,25,3,0,0,0,
com.google.common.collect.Hashing,0,0,1,0,0,
com.google.common.hash.HashingInputStream,6,0,0,1,0,
com.google.common.collect.ImmutableRangeMap,61,1,0,3,0,
com.google.common.collect.SortedMultiset,0,0,0,0,0,
com.google.common.collect.SparseImmutableTable,33,1,0,3,0,
com.google.common.hash.AbstractNonStreamingHashFunction,7,2,1,0,0,
com.google.common.collect.FluentIterable,44,1,4,1,0,
com.google.common.collect.DescendingImmutableSortedMultiset,13,1,0,1,0,
com.google.common.collect.SortedMapDifference,0,0,0,0,0,
com.google.common.collect.RegularImmutableSet,3,1,0,0,0,
com.google.common.collect.FilteredEntrySetMultimap,7,2,1,0,0,
com.google.common.graph.ValueGraph,0,0,0,0,0,
com.google.common.collect.ForwardingSortedSet,2,1,0,0,0,
com.google.common.collect.ImmutableListMultimap,31,2,0,0,0,
com.google.common.collect.ImmutableAsList,3,1,0,1,0,
com.google.common.util.concurrent.AtomicDouble,0,0,0,0,0,
com.google.common.collect.SingletonImmutableSet,3,1,1,0,0,
com.google.common.util.concurrent.ForwardingExecutorService,0,1,1,0,0,
com.google.common.util.concurrent.AbstractListeningExecutorService,0,1,0,0,0,
com.google.common.hash.PrimitiveSink,0,0,0,0,0,
com.google.common.collect.RangeGwtSerializationDependencies,0,0,0,0,0,
com.google.common.collect.AbstractIterator,3,1,0,0,0,
com.google.common.collect.MutableClassToInstanceMap,9,2,1,0,0,
com.google.common.util.concurrent.Futures,40,2,4,4,0,
com.google.common.graph.AbstractGraphBuilder,3,0,1,3,0,
com.google.common.cache.RemovalListener,0,0,0,0,0,
com.google.common.util.concurrent.AbstractService,41,1,0,15,0,
com.google.common.collect.AbstractSetMultimap,7,2,0,0,0,
com.google.common.collect.HashMultimapGwtSerializationDependencies,0,1,0,0,0,
com.google.common.base.NullnessCasts,0,0,0,0,0,
com.google.common.math.BigIntegerMath,26,1,0,0,0,
com.google.common.primitives.ImmutableDoubleArray,8,0,1,0,0,
com.google.common.collect.EnumHashBiMap,9,1,0,0,0,
com.google.common.util.concurrent.NullnessCasts,0,0,0,0,0,
com.google.common.collect.SortedMultisets,27,0,0,1,0,
com.google.common.util.concurrent.FakeTimeLimiter,7,1,0,0,0,
com.google.common.collect.EvictingQueue,10,1,0,0,0,
com.google.common.collect.CompactHashing,4,0,2,0,0,
com.google.common.collect.ReverseNaturalOrdering,10,1,0,0,0,
com.google.common.cache.AbstractLoadingCache,4,2,3,0,0,
com.google.common.reflect.MutableTypeToInstanceMap,11,3,6,0,0,
com.google.common.collect.RowSortedTable,0,0,0,0,0,
com.google.common.collect.AbstractMapEntry,2,0,1,0,0,
