,METHOD_TO_METHOD,INHERITANCE,IMPORT,FIELD,STRUCTUAL_DEBT_INDEX,
org.mockito.internal.creation.bytebuddy.BytecodeGenerator,0,0,0,0,0,
org.mockito.internal.verification.AtMost,6,1,5,0,0,
org.mockito.internal.creation.bytebuddy.MockFeatures,0,0,0,0,0,
org.mockito.MockitoSession,0,0,0,0,0,
org.mockito.internal.hamcrest.HamcrestArgumentMatcher,0,1,2,0,0,
org.mockito.plugins.InstantiatorProvider2,0,0,0,0,0,
org.mockito.exceptions.misusing.InvalidUseOfMatchersException,0,1,1,0,0,
org.mockito.internal.util.concurrent.WeakConcurrentSet,9,0,0,1,0,
org.mockito.internal.matchers.EqualsWithDelta,0,1,1,0,0,
org.mockito.internal.creation.instance.InstantiatorProvider2Adapter,2,1,3,1,0,
org.mockito.internal.matchers.GreaterThan,0,1,0,0,0,
org.mockito.internal.configuration.SpyAnnotationEngine,28,2,7,0,0,
org.mockito.internal.configuration.ClassPathLoader,0,0,3,0,0,
org.mockito.exceptions.base.MockitoException,1,0,1,0,0,
org.mockito.internal.framework.DefaultMockitoSession,10,1,9,1,0,
org.mockito.internal.stubbing.answers.ClonesArguments,6,1,6,0,0,
org.mockito.internal.verification.Only,7,1,4,0,0,
org.mockito.plugins.MemberAccessor,0,0,0,0,0,
org.mockito.internal.stubbing.ConsecutiveStubbing,2,1,2,1,0,
org.mockito.internal.util.KotlinInlineClassUtil,2,0,3,0,0,
org.mockito.internal.stubbing.BaseStubbing,12,1,6,0,0,
org.mockito.internal.matchers.apachecommons.EqualsBuilder,3,0,2,0,0,
org.mockito.internal.junit.DefaultStubbingLookupListener,20,1,6,0,0,
org.mockito.plugins.MockitoLogger,0,0,0,0,0,
org.mockito.internal.configuration.injection.filter.NameBasedCandidateFilter,5,1,0,1,0,
org.mockito.internal.util.reflection.FieldReader,2,0,3,1,0,
org.mockito.internal.matchers.Null,0,1,1,0,0,
org.mockito.internal.verification.checkers.NumberOfInvocationsChecker,18,0,5,0,0,
org.mockito.internal.util.concurrent.DetachedThreadLocal,9,0,0,1,0,
org.mockito.internal.matchers.apachecommons.ReflectionEquals,1,1,1,0,0,
org.mockito.internal.session.MockitoLoggerAdapter,1,1,2,1,0,
org.mockito.internal.verification.VerificationWrapper,8,1,2,0,0,
org.mockito.internal.matchers.VarargMatcher,0,0,0,0,0,
org.mockito.junit.VerificationCollector,0,0,0,0,0,
org.mockito.internal.configuration.plugins.DefaultMockitoPlugins,0,1,10,0,0,
org.mockito.exceptions.misusing.UnfinishedVerificationException,0,1,1,0,0,
org.mockito.internal.stubbing.defaultanswers.GloballyConfiguredAnswer,2,1,4,0,0,
org.mockito.exceptions.verification.MoreThanAllowedActualInvocations,0,1,1,0,0,
org.mockito.internal.junit.TestFinishedEvent,0,0,0,0,0,
org.mockito.internal.util.Platform,1,0,0,0,0,
org.mockito.invocation.Location,0,0,0,0,0,
org.mockito.internal.creation.bytebuddy.ByteBuddyMockMaker,10,1,4,1,0,
org.mockito.internal.creation.MockSettingsImpl,29,3,13,0,0,
org.mockito.internal.debugging.LoggingListener,7,1,2,0,0,
org.mockito.MockitoAnnotations,3,0,4,0,0,
org.mockito.stubbing.VoidAnswer1,0,0,0,0,0,
org.mockito.stubbing.VoidAnswer3,0,0,0,0,0,
org.mockito.stubbing.VoidAnswer2,0,0,0,0,0,
org.mockito.stubbing.BaseStubber,0,0,0,0,0,
org.mockito.MockedConstruction,0,0,0,0,0,
org.mockito.internal.stubbing.DefaultLenientStubber,11,1,5,1,0,
org.mockito.internal.verification.MockAwareVerificationMode,2,1,4,1,0,
org.mockito.internal.progress.MockingProgress,0,0,0,0,0,
org.mockito.internal.stubbing.answers.CallsRealMethods,4,2,3,0,0,
org.mockito.internal.invocation.ArgumentsProcessor,3,0,3,0,0,
org.mockito.internal.verification.Description,1,1,3,1,0,
org.mockito.internal.handler.InvocationNotifierHandler,8,1,5,1,0,
org.mockito.plugins.InlineMockMaker,0,0,0,0,0,
org.mockito.internal.junit.VerificationCollectorImpl,9,2,6,1,0,
org.mockito.internal.stubbing.defaultanswers.ReturnsDeepStubs,36,2,12,3,0,
org.mockito.internal.util.reflection.GenericMetadataSupport,1,0,2,0,0,
org.mockito.internal.stubbing.UnusedStubbingReporting,2,0,1,0,0,
org.mockito.internal.creation.instance.ObjenesisInstantiator,1,1,2,0,0,
org.mockito.internal.runners.RunnerFactory,3,0,8,0,0,
org.mockito.internal.util.reflection.FieldInitializer,13,0,4,0,0,
org.mockito.internal.invocation.SerializableMethod,1,1,2,0,0,
org.mockito.internal.matchers.GreaterOrEqual,0,1,0,0,0,
org.mockito.internal.matchers.text.MatcherToString,2,0,1,0,0,
org.mockito.stubbing.LenientStubber,0,0,0,0,0,
